x,y,gid,name,description,media
-75.142105,39.967414,1,,Business Camera - Northern Liberties,
-75.1420357,39.9671637,2,,Private Camera - Northern Liberties,
-75.142298,39.966346,3,,Business Camera - Northern Liberties,
-75.142502,39.964796,4,,Business Camera - Northern Liberties,
-75.142588,39.964282,5,,Business Camera - Northern Liberties,
-75.14262,39.964166,6,,Business Camera - Northern Liberties,
-75.142733,39.96369,7,,Business Camera - Northern Liberties,
-75.142722,39.963772,8,,Business Camera - Northern Liberties,
-75.142808,39.963451,9,,Business Camera - Northern Liberties,
-75.142776,39.963533,10,,Business Camera - Northern Liberties,
-75.142765,39.963615,11,,Business Camera - Northern Liberties,
-75.14271,39.963429,12,,Business Camera - Northern Liberties,
-75.143029,39.963117,13,,Business Camera - Northern Liberties,
-75.142844,39.963088,14,,Business Camera - Northern Liberties,
-75.142863,39.962994,15,,Business Camera - Northern Liberties,
-75.143034,39.963012,16,,Business Camera - Northern Liberties,
-75.143067,39.962899,17,,Business Camera - Northern Liberties,
-75.143088,39.962796,18,,Business Camera - Northern Liberties,
-75.142981,39.962397,19,,Business Camera - Northern Liberties,
-75.142949,39.962624,20,,Business Camera - Northern Liberties,
-75.143203,39.962266,21,,Business Camera - Northern Liberties,
-75.140934,39.962227,22,,Business Camera - Northern Liberties,
-75.140594,39.964254,23,,Business Camera - Northern Liberties,
-75.140408,39.964326,24,,Business Camera - Northern Liberties,
-75.14036,39.964484,25,,Business Camera - Northern Liberties,
-75.140293,39.96456,26,,Business Camera - Northern Liberties,
-75.140991,39.963249,27,,Business Camera - Northern Liberties,
-75.140468,39.964749,28,,Business Camera - Northern Liberties,
-75.140433,39.96492,29,,Business Camera - Northern Liberties,
-75.13984,39.965489,30,,Business Camera - Northern Liberties,
-75.141335,39.965428,31,,Business Camera - Northern Liberties,
-75.140205,39.96589,32,,Business Camera - Northern Liberties,
-75.139649,39.967011,33,,Business Camera - Northern Liberties,
-75.140907,39.967291,34,,Business Camera - Northern Liberties,
-75.140821,39.967336,35,,Business Camera - Northern Liberties,
-75.1411,39.967061,36,,Business Camera - Northern Liberties,
-75.140333,39.966894,37,,Business Camera - Northern Liberties,
-75.141395,39.96658,38,,Private Camera - Northern Liberties,
-75.141575,39.96632,39,,Private Camera - Northern Liberties,
-75.141012,39.966156,40,,Private Camera - Northern Liberties,
-75.141245,39.964433,41,,Private Camera - Northern Liberties,
-75.141712,39.963948,42,,Private Camera - Northern Liberties,
-75.141897,39.963632,43,,Private Camera - Northern Liberties,
-75.142406,39.963358,44,,Private Camera - Northern Liberties,
-75.141771,39.963206,45,,Private Camera - Northern Liberties,
-75.141655,39.963192,46,,Private Camera - Northern Liberties,
-75.141387,39.963118,47,,Business Camera - Northern Liberties,
-75.141248,39.963081,48,,Business Camera - Northern Liberties,
-75.1419,39.962149,49,,Private Camera - Northern Liberties,
-75.141709,39.96211,50,,Business Camera - Northern Liberties,
-75.141604,39.962081,51,,Private Camera - Northern Liberties,
-75.142541,39.962254,52,,Business Camera - Northern Liberties,
-75.186396,39.976841,53,,Brewerytown Square Condo Association,
-75.117731,39.951727,54,,Hopeworks CRIB Business Camdera,
-75.165281,39.973075,55,,St. Joe's Prep Business Camera,
-75.629529,40.331194,56,,Placemark 56,
-75.541992,39.88445,57,Sherwood and Lancaster,Lancaster Ave,
-75.055933,40.059549,58,All Eyes On U,Lansing St 0001,
-75.194271,39.956284,59,Standalone pole with emergency call box,36th and Market-University City,
-75.193021,39.956144,60,Drexel University emergency call box. West end of URBN building on Market St.,URBN Center - Drexel University,
-75.172856,39.936131,61,Manton Street - Newbold,Private Camera - Newbold,
-75.170442,39.929492,62,,Business Camera - Newbold,
-75.1702,39.929591,63,,Business Camera - Newbold,
-75.170713,39.930788,64,,Business Camera - Newbold,
-75.170564,39.930769,65,,Business Camera - Newbold,
-75.172607,39.931026,66,,Business Camera - Newbold,
-75.16905,39.928644,67,,Business Camera - Newbold,
-75.170415,39.928836,68,,Private Camera - Newbold,
-75.168747,39.930056,69,,Business Camera - Newbold,
-75.171075,39.92556,70,,Business Camera - Newbold,
-75.17262,39.925953,71,,Business Camera - Newbold,
-75.172576,39.926167,72,,Business Camera - Newbold,
-75.171475,39.927324,73,,Business Camera - Newbold,
-75.17099,39.927096,74,,Business Camera - Newbold,
-75.168374,39.931762,75,,Business Camera - Newbold,
-75.603003,39.960299,76,In front of the entrance to Mas,Business Camera - West Chester,
-75.145259,39.935852,77,,Private Camera- Queen Village,
-75.14509,39.936609,78,,Private Cameras- Queen Village,
-75.156784,39.883923,79,,Placemark 79,
-75.159531,39.968701,80,,6700 W Chew Ave,
-75.139371,39.963718,81,Northern Liberties,Private Camera,
-75.130005,39.997112,82,,Placemark 83,
-75.031815,40.036027,83,,Placemark 84,
-75.067778,40.062472,84,Residential Camera's at 77xx Dorcas St & 15xx Hartel St,77xx Dorcas St & 15xx Hartel St,
-75.159531,39.968701,85,,"<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgGb8Ews5nnDtmxyqtBo3Rw8xeRsSz0wXxPDdByb3LIatYvps2U3cRO5XZOvO3inidmwSbBi6KbJ3Qi6D2vY-kwJRtfBT3-cg8TNXEA2J_inV-hKI8QOocBTtRYX0YhXFCeZPt8rZJnnNvCPYyjVWAwFSJZm-eWi3iTf"" height=""200"" width=""auto"" /><br><br>6700 W Chew Ave",https://lh3.googleusercontent.com/umsh/ANkjSgGb8Ews5nnDtmxyqtBo3Rw8xeRsSz0wXxPDdByb3LIatYvps2U3cRO5XZOvO3inidmwSbBi6KbJ3Qi6D2vY-kwJRtfBT3-cg8TNXEA2J_inV-hKI8QOocBTtRYX0YhXFCeZPt8rZJnnNvCPYyjVWAwFSJZm-eWi3iTf
-75.139483,39.963695,86,"Philadelphia, PA 19123","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgF4OCWhTCn4qa2H0_H0vVVAn81XBvOfSGBcYXbUdN2BMTl2kwTKEmT-vqPBtjF_rNa4Mqq_h2VmaMxl7y9cccSoy1-icv-UWDorn2oRRsYU5FBxx-YuSHEiecG-fk_9Zd9vBhf5QqxmxGbiUDwfBUuW3VjENQOmLAOH"" height=""200"" width=""auto"" /><br><br>904 New Market St",https://lh3.googleusercontent.com/umsh/ANkjSgF4OCWhTCn4qa2H0_H0vVVAn81XBvOfSGBcYXbUdN2BMTl2kwTKEmT-vqPBtjF_rNa4Mqq_h2VmaMxl7y9cccSoy1-icv-UWDorn2oRRsYU5FBxx-YuSHEiecG-fk_9Zd9vBhf5QqxmxGbiUDwfBUuW3VjENQOmLAOH
-75.141671,39.959666,87,"Philadelphia, PA 19123","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgEOYgWXG4XTWfHvqX0b_B4tX_lchb6xCn-SIVeLYazlQCpS17_C16b7haTJ5dye1fGyKHzy5A4JdD6EUuz0H70c0W10IFYvExrs999mD_TTeTZCCueP9gpzXrKxovCqlUO_hqT1pgrBYkz6SwYDQ2VSvtZ1IsP9gINK"" height=""200"" width=""auto"" /><br><br>510 N 2nd St",https://lh3.googleusercontent.com/umsh/ANkjSgEOYgWXG4XTWfHvqX0b_B4tX_lchb6xCn-SIVeLYazlQCpS17_C16b7haTJ5dye1fGyKHzy5A4JdD6EUuz0H70c0W10IFYvExrs999mD_TTeTZCCueP9gpzXrKxovCqlUO_hqT1pgrBYkz6SwYDQ2VSvtZ1IsP9gINK
-75.141723,39.959429,88,"Philadelphia, PA 19123","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgHaF1wzAHalnpbcQuqfuTIDBY6xxQqHcw3hKCj91d1gez7gQujIWlcWUuAIa0JJKJ-IEDxrZ6ko_agH3bGsVie1k3JPKdl0nm8TeY9RUFfIuW-YNWn5xp9K8DtB4b12oFD-NVrciSJa9xA--_SJGicrMEQdGL4f0wqj"" height=""200"" width=""auto"" /><br><br>502 N 2nd St",https://lh3.googleusercontent.com/umsh/ANkjSgHaF1wzAHalnpbcQuqfuTIDBY6xxQqHcw3hKCj91d1gez7gQujIWlcWUuAIa0JJKJ-IEDxrZ6ko_agH3bGsVie1k3JPKdl0nm8TeY9RUFfIuW-YNWn5xp9K8DtB4b12oFD-NVrciSJa9xA--_SJGicrMEQdGL4f0wqj
-75.141752,39.959216,89,"Philadelphia, PA 19123","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgH7u8GXlzHcfPcfY_qqe-aCLVAsd5NnMovy4vzR7LWeX9GNHs9zTPm8MRTXgyjPsIDcqCzlMDDxU-YKsQ5PAWANeP32AOHg_0PtndYWHcfNUTro6fYLyj_PYDM6RW1-JMQTSUafOOoCS2eA-2rLLaWv9BNHyOAmybhf"" height=""200"" width=""auto"" /><br><br>484 N 2nd St",https://lh3.googleusercontent.com/umsh/ANkjSgH7u8GXlzHcfPcfY_qqe-aCLVAsd5NnMovy4vzR7LWeX9GNHs9zTPm8MRTXgyjPsIDcqCzlMDDxU-YKsQ5PAWANeP32AOHg_0PtndYWHcfNUTro6fYLyj_PYDM6RW1-JMQTSUafOOoCS2eA-2rLLaWv9BNHyOAmybhf
